0.0031,104
0.0035,103
0.0039,102
0.0043,101
0.0047,100
0.0051,99
0.0055,98
0.0059,97
0.0063,96
0.0067,95
0.0071,94
0.0075,93
0.0079,92
0.0083,91
0.0087,90
0.0091,89
0.0095,88
0.01,87
0.0105,86
0.011,85
0.0115,84
0.012,83
0.0125,82
0.013,81
0.0135,80
0.0145,79
0.0156,1/64
0.016,78
0.018,77
0.02,76
0.021,75
0.0225,74
0.024,73
0.025,72
0.026,71
0.028,70
0.0292,69
0.031,68
0.0313,1/32
0.032,67
0.033,66
0.035,65
0.036,64
0.037,63
0.038,62
0.039,61
0.04,60
0.041,59
0.042,58
0.043,57
0.0465,56
0.0469,3/64
0.052,55
0.055,54
0.0595,53
0.0625,1/16
0.0635,52
0.067,51
0.07,50
0.073,49
0.076,48
0.0781,5/64
0.0785,47
0.081,46
0.082,45
0.086,44
0.089,43
0.0935,42
0.0937,3/32
0.096,41
0.098,40
0.0995,39
0.1015,38
0.104,37
0.1065,36
0.1093,7/64
0.11,35
0.111,34
0.113,33
0.116,32
0.12,31
0.125,1/8
0.1285,30
0.136,29
0.1405,28
0.1406,9/64
0.144,27
0.147,26
0.1495,25
0.152,24
0.154,23
0.1562,5/32
0.157,22
0.159,21
0.161,20
0.166,19
0.1695,18
0.1719,11/64
0.173,17
0.177,16
0.18,15
0.182,14
0.185,13
0.1875,3/16
0.189,12
0.191,11
0.1935,10
0.196,9
0.199,8
0.201,7
0.2031,13/64
0.204,6
0.2055,5
0.209,4
0.213,3
0.2187,7/32
0.221,2
0.228,1
0.234,A
0.2344,15/64
0.238,B
0.242,C
0.246,D
0.25,1/4-E       
0.257,F
0.261,G
0.2656,17/64
0.266,H
0.272,I
0.277,J
0.2811,K
0.2812,9/32
0.29,L
0.295,M
0.2968,19/64
0.302,N
0.3125,5/16
0.316,O
0.323,P
0.3281,21/64
0.332,Q
0.339,R
0.3437,11/32
0.348,S
0.358,T
0.3594,23/64
0.368,U
0.375,3/8
0.377,V
0.386,W
0.3906,25/64
0.397,X
0.404,Y
0.4062,13/32
0.413,Z
0.4219,27/64
0.4375,7/16
0.4531,29/64
0.4687,15/32
0.4844,31/64
0.5,1/2
0.5156,33/64
0.5312,17/32
0.5469,35/64
0.5625,9/16
0.5781,37/64
0.5937,19/32
0.6094,39/64
0.625,5/8
0.6406,41/64
0.6562,21/32
0.6719,43/64
0.6875,11/16
0.7031,45/64
0.7187,23/32
0.7344,47/64
0.75,3/4
0.7656,49/64
0.7812,25/32
0.7969,51/64
0.8125,13/16
0.8281,53/64
0.8437,27/32
0.8594,55/64
0.875,7/8
0.8906,57/64
0.9062,29/32
0.9219,59/64
0.9375,15/16
0.9531,61/64
0.9687,31/32
0.9844,63/64
1,1
